name,team,battingStyle,playingRole,bowlingStyle,description
Michael Jones,Scotland,Right hand Bat,Top order Batter,Right arm Offbreak,"The summer of 2022 saw opener Michael Jones finally convert promise into solid first-team returns. He began his fifth season as a Durham cricketer with a maiden first-class hundred at Grace Road, in the second round of the Championship, and followed that up a few months later by batting for more than eight hours to amass 206 from 381 balls against Middlesex at Chester-le-Street."
Malan Kruger,Namibia,Right hand Bat,Batter,,
Anil Sah,Nepal,Right hand Bat,Batting Allrounder,Right arm Offbreak,
Mohammad Rizwan,Pakistan,Right hand Bat,Wicketkeeper Batter,Right arm Medium,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
Naveen-ul-Haq,Afghanistan,Right hand Bat,Bowler,Right arm Medium fast,
Ottneil Baartman,South Africa,Right hand Bat,Bowler,Right arm Medium fast,
Gareth Delany,Ireland,Right hand Bat,Batting Allrounder,Legbreak Googly,
Kane Williamson(c),New Zealand,Right hand Bat,Top order Batter,Right arm Offbreak,
Lockie Ferguson,New Zealand,Right hand Bat,Bowler,Right arm Fast,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Maheesh Theekshana,Sri Lanka,Right hand Bat,Bowler,Right arm Offbreak,
Axar Patel,India,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,
Aiden Markram(c),South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Matthew Cross,Scotland,Right hand Bat,Wicketkeeper Batter,,"A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year."
Wanindu Hasaranga(c),Sri Lanka,Right hand Bat,Allrounder,Legbreak,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career."
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Allrounder,Right arm Offbreak,"A stylish middle-order batter who also props up Sri Lanka's mediocre batting line-up with fighting knocks, de Silva is a treat to watch. "
Nosthush Kenjige,U.S.A,Right hand Bat,Bowler,Slow Left arm Orthodox,
Ronak Patel,Uganda,Right hand Bat,Batter,Slow Left arm Orthodox,
Chris Sole,Scotland,Right hand Bat,Bowler,Right arm Fast medium,
Kyle Mayers,West Indies,Left hand Bat,Batting Allrounder,Right arm Medium,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. "
Aaron Johnson,Canada,Right hand Bat,Batter,Right arm Offbreak,"Originally from Jamaica, Aaron Johnson made his T20I debut for Canada in 2022 and soon established himself as a destructive opening batter. He showed his intent with a first-ball four against USA to kickstart the 2024 T20 World Cup.He is the first Canada batter to hit multiple T20I centuries. His first century was in his first T20I tournament in Al Amerat where he smacked an unbeaten 109 against Oman in November 2022. Then in October 2023, he clubbed an unbeaten 121 against Panama. He had five fifties and two hundreds after his first 16 T20Is.Sreshth Shah"
Nicholas Kirton,Canada,Left hand Bat,Batting Allrounder,,
Saim Ayub,Pakistan,Left hand Bat,Top order Batter,"Right arm Medium fast, Right arm Offbreak",
Jasprit Bumrah,India,Right hand Bat,Bowler,Right arm Fast,
Semo Kamea,Papua New Guinea,Left hand Bat,Bowler,Left arm Fast,
Saad Bin Zafar,Canada,Left hand Bat,Allrounder,Slow Left arm Orthodox,"The Pakistan-born Saad Bin Zafar earned the honour of being Canada's first captain at the T20 World Cup in 2024. That was a culmination of a long career with Canada that started with a first-class debut in 2008 before representing the team consistently in all formats.As a slow left-arm spinner and left-hand batter, Saad has also been part of the Caribbean Premier League, representing St Lucia Zouks. In November 2021, he entered the record books as the first man to concede no run in a four-over spell in a T20I when he finished with figures of 4-4-0-2 against Panama.Sreshth Shah"
Taskin Ahmed,Bangladesh,Left hand Bat,Bowler,Right arm Fast,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Tangeni Lungameni,Namibia,Right hand Bat,Bowler,Left arm Medium,
Shoaib Khan,Oman,Right hand Bat,Batter,Right arm Medium,
Sybrand Engelbrecht,Netherlands,Right hand Bat,Allrounder,Right arm Offbreak,"Long before he turned out in Dutch orange, allrounder Sybrand Engelbrecht stole the spotlight with a stunning two-handed, diving catch at point for South Africa during the 2008 Under-19 World Cup in Malaysia  - headlined on YouTube as 'the Best ever catch in cricket history'. But Engelbrecht struggled to take his sensational fielding into other aspects of his game. The bulk of his career was spent trying to become a franchise regular at Cape Cobras, where he often had to settle for a place in the provincial side instead.  "
Arshdeep Singh,India,Left hand Bat,Bowler,Left arm Medium fast,
Aaron Jones(c),U.S.A,Right hand Bat,Top order Batter,Legbreak Googly,"Aaron Jones grew up playing alongside Shai Hope and Jason Holder and against Nicholas Pooran and Rovman Powell. He made his List-A debut for Barbados in January 2016 before representing them in first-class cricket the following year. By 2018, though, he had switched to playing for USA. Jones, who was born in Queens in New York, quickly became a mainstay in the USA team. His maiden List-A century against Namibia in the WCL Division 2 in 2019 helped USA earn the side ODI status during that competition."
Sadeera Samarawickrama,Sri Lanka,Right hand Bat,Wicketkeeper Batter,,"In the longest format, Sadeera Samarawickrama is a dashing wicketkeeper-batsman who plays in the middle order. In limited-overs cricket, he has routinely set his teams off to fast starts as an opener. In any case, few school leavers of his vintage have made such a successful transition to the senior level. The national selectors have taken notice. "
Alzarri Joseph,West Indies,Right hand Bat,Bowler,Right arm Fast,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Vivian Kingma,Netherlands,Right hand Bat,Bowler,Right arm Medium fast,
John Kariko,Papua New Guinea,Left hand Bat,Bowler,Slow Left arm Orthodox,
Dipendra Singh Airee,Nepal,Right hand Bat,Middle order Batter,"Right arm Medium, Right arm Offbreak","One of the rising stars of Nepal's post-Paras Khadka generation, Dipendra Singh Airee packs a powerful punch with the bat, arriving to the crease with a trademark do-rag creeping out from under his helmet. "
Shai Hope,West Indies,Right hand Bat,Wicketkeeper Batter,,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley."
Junaid Siddiqui,Canada,Right hand Bat,Allrounder,Legbreak,
Nitish Kumar,Canada,Right hand Bat,Top order Batter,Right arm Offbreak,"A useful allrounder, Nitish Kumar played in all but one of Canada's eight matches at the 2010 Under-19 World Cup Qualifiers. He is also the youngest player to debut for Canada in a first-class match when he played in an ICC Intercontinental Cup fixture against Kenya in August 2009, and then subsequently became the second youngest ODI player in February 2010 at the age of 15 years 273 days - only eclipsed by Pakistan's Hasan Raza in 1996."
Pat Cummins,Australia,Right hand Bat,Bowler,Right arm Fast,
Chris Jordan,England,Right hand Bat,Bowler,Right arm Fast medium,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Jeremy Gordon,Canada,Right hand Bat,Bowler,Right arm Fast medium,
Matheesha Pathirana,Sri Lanka,Right hand Bat,Bowler,Right arm Fast,
Mark Watt,Scotland,Left hand Bat,Bowler,Slow Left arm Orthodox,"Scotland left-arm spinner Mark Watt made a quiet international debut in 2015 but drew attention to himself more firmly two years on when he took five wickets against Netherlands in a T20I in Dubai, despatching them from 82 for 4 to nine down for less than 100. Later that year, he took three in a famous win against England in an ODI, Scotland's first. Watt won opportunities with Lancashire that summer, although he only took one wicket in four matches."
Brad Currie,Scotland,Right hand Bat,Bowler,Left arm Medium,"Left-arm seamer Brad Currie made a dream start to his trial with Sussex in mid-2022, taking a six-wicket haul on first-class debut at Lord's. Former England opener Mark Stoneman was his maiden victim during a spell of 4 for 16, as Currie proved he was ready for the step up at the age of 23, having spent several years playing National Counties cricket for Dorset. He made his List A debut the following month, taking 12 wickets in eight matches as Sussex reached the semi-finals of the Royal London Cup, and was subsequently awarded a full-time contract with the club."
Michael van Lingen,Namibia,Left hand Bat,Bowling Allrounder,"Left arm Medium, Slow Left arm Orthodox",
Sese Bau,Papua New Guinea,Left hand Bat,Middle order Batter,Right arm Offbreak,"A prolific left-handed batsman who plays for the United Club in Port Moresby, Sese Bau scored 171 runs in the Under-19 World Cup Qualifiers. His cricketing hero is Adam Gilchrist, and his ambition is to represent Papua New Guinea's senior team at an ICC Cricket World Cup.
Cricinfo Staff, January 2010"
Shivam Dube,India,Left hand Bat,Allrounder,Right arm Medium,
Aiden Markram,South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Saurabh Netravalkar,U.S.A,Right hand Bat,Bowler,Left arm Fast medium,"A tall left-arm fast bowler, Saurabh Netravalkar took 30 wickets in six games in the Cooch Behar Trophy in 2008-09. In 2010, he was India's highest wicket-taker at the Under-19 World Cup in New Zealand. He had hoped his performance would pave the way for a berth in the senior Mumbai set-up, and perhaps even an IPL contract. But the presence of Ajit Agarkar, Zaheer Khan, Aavishkar Salvi and a young Dhawal Kulkarni made it difficult for the youngster to break into the Mumbai side."
Paul Stirling(c),Ireland,Right hand Bat,Batting Allrounder,Right arm Offbreak,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. "
Naseem Khushi,Oman,Right hand Bat,Wicketkeeper,,
Cosmas Kyewuta,Uganda,Right hand Bat,Bowler,Right arm Medium,
Johnson Charles,West Indies,Right hand Bat,Wicketkeeper Batter,,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
Rovman Powell(c),West Indies,Right hand Bat,Middle order Batter,Right arm Medium fast,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Marcus Stoinis,Australia,Right hand Bat,Batting Allrounder,Right arm Medium,
Tristan Stubbs,South Africa,Right hand Bat,Batter,Right arm Offbreak,
Nicholas Pooran,West Indies,Left hand Bat,Wicketkeeper Batter,Right arm Offbreak,
Kiplin Doriga,Papua New Guinea,Right hand Bat,Wicketkeeper Batter,,
Norman Vanua,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium,
Soumya Sarkar,Bangladesh,Left hand Bat,Batting Allrounder,Right arm Medium fast,"A rarity among Bangladesh allrounders, top-order batter Soumya Sarkar bowls medium pace rather than spin, and occasionally even takes the new ball. "
Adil Rashid,England,Right hand Bat,Bowler,Legbreak,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Mark Wood,England,Right hand Bat,Bowler,Right arm Fast,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
David Miller,South Africa,Left hand Bat,Middle order Batter,Right arm Offbreak,
Kusal Mendis,Sri Lanka,Right hand Bat,Wicketkeeper Batter,Legbreak,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. "
Brian Masaba(c),Uganda,Right hand Bat,Bowler,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",
Shakib Al Hasan,Bangladesh,Left hand Bat,Allrounder,Slow Left arm Orthodox,"Easily the finest player Bangladesh have produced, Shakib Al Hasan is a canny, consistent and accurate bowler and an aggressive batter with a wide range of strokes in his repertoire. He has spent long periods at the top of the ICC's allrounder rankings across formats, a validation of his stature in the game."
Kamindu Mendis,Sri Lanka,Left hand Bat,Allrounder,"Right arm Offbreak, Slow Left arm Orthodox","Though foremost a batsman who scores heavily square of the wicket, it is for his unique skill set with the ball that Kamindu Mendis had gained an international reputation long before he entered a national squad. He bowls finger spin with both arms, and does it with skill and accuracy - his offbreaks not quite as good as his left-arm orthodox, but not far off. Understandably, his potential has impressed coaches. In the age of T20, a bowler who can spin it away from both right and left-handers, not to mention employ different lines of attack to the same batsman, could potentially have team owners and data analysts drooling, so long as Kamindu continues to develop those skills. "
Pathum Nissanka,Sri Lanka,Right hand Bat,Top order Batter,,
Quinton de Kock,South Africa,Left hand Bat,Wicketkeeper Batter,,
Reece Topley,England,Right hand Bat,Bowler,Left arm Fast medium,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Tim David,Australia,Right hand Bat,Middle order Batter,Right arm Offbreak,
Steven Taylor,U.S.A,Left hand Bat,Opening Batter,Right arm Offbreak,"One of the best homegrown talents in the modern generation of USA cricket, Steven Taylor's imposing physical presence makes him capable of destructive power-hitting, a rare characteristic at Associate level. "
Bilal Khan,Oman,Left hand Bat,Bowler,Left arm Medium fast,"After a brief first-class career with Peshawar in Pakistan's domestic cricket in the late 2000s, left-arm swing bowler Bilal Khan turned into the leader of Oman's bowling attack and one of the most successful pace bowlers on the Associate scene in the late 2010s. As of 2022, his ODI bowling average was bettered only by Joel Garner, Rashid Khan and Sandeep Lamichhane among bowlers with at least 50 ODI wickets."
Haris Rauf,Pakistan,Right hand Bat,Bowler,Right arm Fast,
Riazat Ali Shah,Uganda,Right hand Bat,Batting Allrounder,Right arm Medium,
Naseem Shah,Pakistan,Right hand Bat,Bowler,Right arm Fast,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. "
Phil Salt,England,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Karan KC,Nepal,Right hand Bat,Allrounder,Right arm Fast,"Broad-shouldered, barrel-chested fast bowler Karan KC has been incisive for Nepal through their brief history as an international cricket team, in a variety of conditions both at home and away, and no other pace bowler has produced more five-wicket hauls in both List A and T20 cricket. His consistency as a wicket-taker has made Nepal far less reliant on their spinners to produce winning results."
Alei Nao,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium,
Ayaan Khan,Oman,Left hand Bat,Allrounder,Slow Left arm Orthodox,
Rohit Paudel(c),Nepal,Right hand Bat,Batting Allrounder,Right arm Offbreak,
Tabraiz Shamsi,South Africa,Right hand Bat,Bowler,Left arm Wrist spin,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Sandeep Lamichhane,Nepal,Right hand Bat,Bowler,Legbreak Googly,"Discovered as a 14-year-old by then Nepal coach Pubudu Dassanayake during a pit stop in the remote Chitwan Province on the way from Kathmandu to left-arm spinner Basant Regmi's wedding, Sandeep Lamichhane has continued to make the most of good fortune at every opportunity to come his way."
Andre Russell,West Indies,Right hand Bat,Allrounder,Right arm Fast,
Brandon King,West Indies,Right hand Bat,Top order Batter,,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
Fakhar Zaman,Pakistan,Left hand Bat,Opening Batter,Slow Left arm Orthodox,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt."
Kushal Bhurtel,Nepal,Right hand Bat,Opening Batter,Legbreak Googly,
Chad Soper,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium fast,"Chad Soper's style of play, perhaps his entire career, is symbolic of most things to do with Papua New Guinea's national team. He does not have eye-popping talent, bowling stump-to-stump, often with the keeper standing up to the stumps, but his blue-collar work ethic has made him a staple of the national team. "
Travis Head,Australia,Left hand Bat,Top order Batter,Right arm Offbreak,"A talented, aggressive left-hand batter earmarked for big things at a young age, it was Travis Head's second coming as an international cricketer where his career really took off. In late 2021 he was recalled for the Ashes series and made a match-defining 85-ball century at the Gabba - it set the tone for a strong of destructive Test innings while he also reemerged as a white-ball force, so central to Australia's 2023 ODI World Cup plans that they waited for him to recover from a broken hand. In the final against India he made 137 off 120 balls. A cult hero was born."
Jasdeep Singh,U.S.A,Right hand Bat,Bowler,Right arm Medium,"His exuberant celebrations make Jessy Singh hard to miss on the field for USA. Born in New York, Jessy's family moved back to Punjab when he was 3 before he returned to New Jersey at age 13. Jessy was one of the last players cut at trials for the 2011 U-19 World Cup qualifier squad that toured Ireland, but used that as motivation for developing into a medium-pace talent at the senior level. "
Moeen Ali,England,Left hand Bat,Batting Allrounder,Right arm Offbreak,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Milind Kumar,U.S.A,Right hand Bat,Allrounder,Right arm Offbreak,
Kaleem Sana,Canada,Right hand Bat,Bowler,Left arm Medium fast,"Like a fair number of team-mates in the Under-19 World Cup in New Zealand, Kaleem Sana has had first-class experience. He made his debut for Pakistan Customs in 2009 and has played two games, grabbing three wickets."
Sam Curran,England,Left hand Bat,Allrounder,Left arm Medium fast,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Shadley van Schalkwyk,U.S.A,Left hand Bat,Allrounder,Right arm Medium,"Shadley van Schalkwyk came through as a fast-medium bowler for Eagles and Free State. A product of the famous Wynberg Boys' High School, whose alumni includes Jacques Kallis and Allan Lamb. After impressing with the bat on a tour to Pakistan with his school side in 2006, he was drafted into the South African Academy. He made his List A debut for Western Province in February 2008, and had a quiet time in his first first-class appearance nine months later. He played every game of Eagles' 2009 Pro20 series, and was part of their squad for the inaugural Champions League Twenty20 the same year."
Dinesh Nakrani,Uganda,Left hand Bat,Allrounder,Left arm Medium,
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,Wicketkeeper Batter,,
Nangeyalia Kharote,Afghanistan,Left hand Bat,Allrounder,Slow Left arm Orthodox,
Abinash Bohara,Nepal,Right hand Bat,Bowler,Right arm Medium,
Mitchell Marsh(c),Australia,Right hand Bat,Allrounder,Right arm Medium,
Angelo Mathews,Sri Lanka,Right hand Bat,Allrounder,Right arm Medium,"A robust batting technique, nagging consistency with the ball, athleticism in the field, and an imperturbable temperament made Angelo Mathews one of Sri Lanka's most prized assets, although persistent injuries and several standoffs with the Sri Lankan board prevented him from achieving his full potential."
Pratik Athavale,Oman,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,
Juma Miyagi,Uganda,Right hand Bat,Bowler,Right arm Medium fast,
Jofra Archer,England,Right hand Bat,Bowler,Right arm Fast,"Jofra Archer has rapidly become one of the most exciting young fast bowlers in English cricket. Born in Barbados to an English father and Bajan mother, the possibility of his inclusion in England's 2019 World Cup squad became subject of much speculation in the run-up to the tournament. Changes to the ECB's qualification rules led to him becoming eligible after three years of residency - rather than the expected seven - and he was quickly given his chance at international level."
Heinrich Klaasen,South Africa,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. "
Harmeet Singh,U.S.A,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,"Delivering with a still head, equipped with a loopy delivery, strapped with a big heart to flight the ball, Harmeet Singh attracted instant praise from coaches and players alike. The former Indian batting stalwart Dilip Sardesai compared Harmeet to his contemporary and spin legend Bishen Bedi the first time he witnessed the Mumbai youngster in action. By 19, Harmeet had featured in two Under-19 World Cups. In his first attempt, in 2010, he proved far too expensive for the team management to retain him in the team regularly. Hungry and resilient to prove his worth two years later, his economy rate of 3.02 was one of the best, despite him missing a couple of matches due to being sick. Importantly, he was one of the main pillars of India winning the title. "
Ashton Agar,Australia,Left hand Bat,Bowler,Slow Left arm Orthodox,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. "
Zeeshan Maqsood,Oman,Left hand Bat,Opening Batter,Slow Left arm Orthodox,
Khalid Kail,Oman,Right hand Bat,Middle order Batter,,
Glenn Maxwell,Australia,Right hand Bat,Batting Allrounder,Right arm Offbreak,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. "
Akeal Hosein,West Indies,Left hand Bat,Bowler,Slow Left arm Orthodox,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Ravindra Jadeja,India,Left hand Bat,Allrounder,Slow Left arm Orthodox,
Brad Wheal,Scotland,Right hand Bat,Bowler,Right arm Fast medium,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19. "
Richie Berrington(c),Scotland,Right hand Bat,Top order Batter,Right arm Medium fast,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012"
Najmul Hossain Shanto(c),Bangladesh,Left hand Bat,Top order Batter,Right arm Offbreak,"Although he made his debut in 2017, and scored two Test hundreds in 2021, it took Najmul Hossain Shanto more than five years to truly establish himself in the Bangladesh side. But once he did, he was rewarded by being appointed Bangladesh's captain in all three formats. "
David Warner,Australia,Left hand Bat,Opening Batter,Legbreak,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Litton Das,Bangladesh,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"Litton Das made his way into the Bangladesh senior sides following his exploits for Abahani in the Dhaka Premier League, and Rangpur Division in the National Cricket League in 2014-15, where he was the top scorer. "
Iftikhar Ahmed,Pakistan,Right hand Bat,Middle order Batter,Right arm Offbreak,"In 2023, making what seemed to be his nth comeback to the Pakistan ODI side, offspinner allrounder Iftikhar Ahmed burst into flower with an unbeaten 94 from No. 6 against New Zealand in the fifth ODI (after Pakistan had sealed the series) - though the target of 300 proved a bridge too far for him and his side. "
Liam Livingstone,England,Right hand Bat,Batting Allrounder,"Right arm Offbreak, Legbreak","Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Rishad Hossain,Bangladesh,Right hand Bat,Bowler,Legbreak Googly,
Kaleemullah,Oman,Right hand Bat,Bowler,Right arm Medium,"It's hard to miss Kaleemullah, who stands over two metres tall, on a cricket field. But his bowling efficiency has shifted the conversation away from his towering physical stature and more towards his lofty statistics. "
Monank Patel(c),U.S.A,Right hand Bat,Wicketkeeper Batter,,
Jos Buttler(c),England,Right hand Bat,Wicketkeeper Batter,,
Mahmudullah,Bangladesh,Right hand Bat,Allrounder,Right arm Offbreak,"An allrounder who bowls tidy offspin and bats in the middle order, Mahmudullah has spent the last three years figuring out how fickle form can be. In late 2012, he was the star who derailed West Indies to their first ODI series defeat in Bangladesh, and was a step away from captaincy. A poor season later, his place was continually questioned and he was even dropped for the 2014 Asia Cup. After another five months, Mahmudullah finally found form and became an automatic choice."
Aasif Sheikh,Nepal,Right hand Bat,Wicketkeeper Batter,,
Jan Frylinck,Namibia,Left hand Bat,Allrounder,Left arm Fast medium,
Noor Ahmad,Afghanistan,Right hand Bat,Bowler,Left arm Wrist spin,
Kushal Malla,Nepal,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,
Rafiullah,Oman,Right hand Bat,Bowler,Right arm Medium,
